idx,val
0,6.668294191360474
1,6.026244163513184
2,5.802518367767334
3,5.650197982788086
4,5.61625075340271
5,5.585914611816406
6,5.593140602111816
7,5.657752990722656
8,5.456258535385132
9,5.61069917678833
10,5.904285430908203
11,5.615330457687378
12,5.523705720901489
13,5.51508641242981
14,5.614090442657471
15,6.486408710479736
16,5.8836143016815186
17,5.667879581451416
18,6.4238972663879395
19,5.769647121429443
20,5.5649402141571045
21,5.877324342727661
22,5.824384450912476
23,5.814098834991455
24,5.7225661277771
25,5.520211935043335
26,5.686558961868286
27,5.498304843902588
28,5.558734893798828
29,5.617464542388916
30,5.437743425369263
31,5.67296290397644
32,5.3247764110565186
33,5.847031354904175
34,5.498781442642212
35,5.710299015045166
36,5.597392320632935
37,5.753061532974243
38,5.404146909713745
