idx,val
0,0.9055359959602356
1,0.6893115043640137
2,0.6745952367782593
3,0.5807715654373169
4,0.6408742070198059
5,0.8026094436645508
6,0.6470295786857605
7,0.7225726842880249
8,0.7655749917030334
9,0.6502664089202881
10,0.6749289035797119
11,0.6565288305282593
12,0.6667109727859497
13,0.7003048658370972
14,0.6759979724884033
15,0.7211638689041138
16,0.6674908399581909
17,0.673856794834137
18,0.6872972846031189
19,0.6855838894844055
20,0.6864213347434998
21,0.7432588338851929
22,0.6011860966682434
23,0.6793488264083862
24,0.604113757610321
25,0.7135168313980103
26,0.7276502847671509
27,0.7308621406555176
28,0.6620176434516907
29,0.6779233813285828
30,0.6656278967857361
31,0.6437428593635559
32,0.6978837847709656
33,0.6921669244766235
34,0.703971803188324
35,0.665422797203064
36,0.6784182786941528
37,0.7009244561195374
38,0.7804262638092041
