idx,val
0,6.603411674499512
1,6.0267627239227295
2,5.8664093017578125
3,5.645720958709717
4,5.602154016494751
5,5.582695245742798
6,5.585754156112671
7,5.664723873138428
8,5.448072195053101
9,5.592021703720093
10,5.912529468536377
11,5.61405086517334
12,5.521071672439575
13,5.53206205368042
14,5.6042327880859375
15,6.520759344100952
16,5.830503702163696
17,5.7020556926727295
18,6.417994260787964
19,5.765435218811035
20,5.587568044662476
21,5.851449251174927
22,5.85887336730957
23,5.782827138900757
24,5.745604038238525
25,5.469552755355835
26,5.713513612747192
27,5.497174024581909
28,5.535471677780151
29,5.654667615890503
30,5.409482955932617
31,5.678056240081787
32,5.34333610534668
33,5.830862522125244
34,5.5058982372283936
35,5.7112462520599365
36,5.583764314651489
37,5.763809680938721
38,5.380123138427734
