idx,val
0,60.414971351623535
1,58.09810996055603
2,58.047555923461914
3,57.9714252948761
4,58.01971745491028
5,57.8421630859375
6,57.857319831848145
7,57.92712759971619
8,57.80808615684509
9,57.87713885307312
10,57.923611640930176
11,57.83013319969177
12,57.805299520492554
13,57.81594395637512
14,57.755632400512695
15,57.766748905181885
16,57.85032320022583
17,57.8436233997345
18,57.79246544837952
19,57.81489086151123
20,57.74706411361694
21,57.76217842102051
22,57.784443378448486
23,57.84926915168762
24,57.81764054298401
25,57.78585124015808
26,57.79031491279602
27,57.76775550842285
28,57.80523920059204
29,57.78792095184326
30,57.81193804740906
31,57.78462505340576
32,57.795583963394165
33,57.79803776741028
34,57.776171922683716
35,57.80052876472473
36,57.78503751754761
37,57.75942301750183
38,57.66541910171509
