idx,val
0,8.67454719543457
1,8.290428161621094
2,8.271408557891846
3,8.393548965454102
4,7.9817633628845215
5,8.058038711547852
6,8.01898193359375
7,7.753001689910889
8,8.47090744972229
9,7.881395101547241
10,8.14448618888855
11,8.468398094177246
12,8.23023533821106
13,8.015709638595581
14,8.059219598770142
15,8.263291358947754
16,7.837311029434204
17,8.308695793151855
18,8.447277545928955
19,8.31075143814087
20,8.29474139213562
21,8.13154649734497
22,8.022339582443237
23,8.234912157058716
24,8.125382661819458
25,8.145267486572266
26,8.405925273895264
27,8.296130895614624
28,8.221071243286133
29,8.192412376403809
30,8.193448781967163
31,8.312097549438477
32,8.200618743896484
33,7.940521717071533
34,8.192725419998169
35,8.228850603103638
36,8.082888126373291
37,8.046608448028564
38,7.725765943527222
