idx,val
0,8.715667724609375
1,8.30015230178833
2,8.263425350189209
3,8.383033514022827
4,7.983375310897827
5,8.039843797683716
6,8.02337646484375
7,7.760602951049805
8,8.487837314605713
9,7.910105228424072
10,8.10163688659668
11,8.499204397201538
12,8.224393367767334
13,7.985874176025391
14,8.078951120376587
15,8.287927627563477
16,7.840625047683716
17,8.267082452774048
18,8.490792036056519
19,8.250401735305786
20,8.326172590255737
21,8.123140811920166
22,8.04617691040039
23,8.245736360549927
24,8.139506101608276
25,8.097544431686401
26,8.412749767303467
27,8.303446292877197
28,8.22358250617981
29,8.220421314239502
30,8.163892984390259
31,8.308297634124756
32,8.175653457641602
33,7.959161758422852
34,8.209041357040405
35,8.226332426071167
36,8.085254907608032
37,8.059064149856567
38,7.740118980407715
