idx,val
0,0.8975074887275696
1,0.8088882565498352
2,0.7751752734184265
3,0.6154295206069946
4,0.732525646686554
5,0.6826477646827698
6,0.7972484230995178
7,0.849734365940094
8,0.7141337394714355
9,0.7543343305587769
10,0.8139281272888184
11,0.7448554635047913
12,0.7255042791366577
13,0.6903994083404541
14,0.7242133617401123
15,0.7220542430877686
16,0.6147739291191101
17,0.7293049693107605
18,0.692111611366272
19,0.6828622221946716
20,0.647454559803009
21,0.6743174195289612
22,0.6162534356117249
23,0.6681492924690247
24,0.6844494342803955
25,0.6790174841880798
26,0.7332026958465576
27,0.7437059879302979
28,0.7416519522666931
29,0.6495732069015503
30,0.7171585559844971
31,0.6885586380958557
32,0.6243108510971069
33,0.7293746471405029
34,0.7114555835723877
35,0.6508675813674927
36,0.6796315908432007
37,0.6973371505737305
38,0.7089685797691345
